,Place of interest,Postal code,Place address,place_lat,place_long
0,Sede QuedaT.com Chamartín,28002,Pasaje Doña Carlota 13,40.447906726663575,-3.6631712286014215
1,"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",28033,Calle Añastro 11 Planta Baja Puerta 10,40.46804636877346,-3.6632423666024976
2,"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",28049,Carretera Colmenar Viejo 13.6,40.56299317375062,-3.7140517146418874
3,ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),28038,Camino Valderribas 115,40.394474188113975,-3.6561342020450107
4,Administración Ciudad Lineal. AEAT,28016,Calle Uruguay 16,40.454894174189924,-3.672453700423445
5,Administración Fermín Caballero. AEAT,28034,Calle Fermin Caballero 66,40.48314873363959,-3.710549528504344
6,Administración Guzmán el Bueno. AEAT,28003,Calle Guzman El Bueno 139,40.445472489278124,-3.7124852981854684
7,Administración María de Molina. AEAT,28006,Calle Nuñez De Balboa 116,40.43718023263375,-3.6816798948244314
8,Administración Montalbán. AEAT,28014,Calle Montalban 6,40.41790255579091,-3.690676090761533
9,Administración Sudeste. AEAT,28030,Calle Camino De Los Vinateros 51,40.41087815519668,-3.6538853965125915
10,Administración Suroeste. AEAT,28044,Calle Aguacate 27,40.37051476141239,-3.745760628757405
11,Aeropuerto Adolfo Suarez Madrid -  Barajas,28042,Avenida Hispanidad,40.46820334584188,-3.5696317070849624
12,Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid,28032,Bulevar Jose Prat 40,40.39614339736402,-3.6197515223307275
13,Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,28036,Calle Agustin De Foxa 34,40.47067226303316,-3.6847852918121404
14,Aparcamiento público Saba Estación Madrid Atocha P2 y P3,28014,Paseo Infanta Isabel  Sin Número,40.40561195909846,-3.687590105606522
15,Aparcamiento público de Metro de Madrid. Miguel Hernández,28018,Avenida Albufera 270,40.38704235037171,-3.639991592687951
16,Aparcamiento público. Plaza Ramón y Cajal (Ciudad Universitaria),28040,Plaza Ramon Y Cajal 1,40.44451127873064,-3.7262019812409104
17,"Asociación esclerosis múltiple Madrid, centro de rehabilitación",28034,Calle Sangenjo 36 Planta 1º,40.48753110350201,-3.6985691585465794
18,Auditorio Nacional de Música,28002,Calle Principe De Vergara 146,40.44615938706209,-3.6779448874160314
19,Biblioteca Central y Servicio de Documentación del Ministerio del Interior,28010,Calle Amador De Los Rios 7,40.42744034262133,-3.6913494112390763
20,Biblioteca Nacional de España,28001,Paseo Recoletos 20,40.423003507448364,-3.6908364756092715
21,Biblioteca Pública Antonio Mingote (Latina),28044,Calle Rafael Finat 51,40.37944179159947,-3.7694389972002424
22,Biblioteca Pública Elena Fortún (Retiro),28007,Calle Doctor Esquerdo 189,40.403577814444176,-3.6724086076957154
23,Biblioteca Pública Hortaleza,28033,Calle Abertura 2,40.47719279779815,-3.6496196128895835
24,Biblioteca Pública Javier Marías (Moratalaz),28030,Calle Corregidor Alonso De Tobar 5,40.403992358842835,-3.6494384856607582
25,Biblioteca Pública José Hierro (Usera),28026,Avenida Rafaela Ybarra 43,40.38188230129181,-3.7106157111470615
26,Biblioteca Pública José Luis Sampedro (Chamberí),28010,Calle Felipe El Hermoso 4,40.435399621146054,-3.69966592825407
27,Biblioteca Pública Luis Martín Santos (Villa de Vallecas),28031,Plaza Antonio Maria Segovia 2,40.38092043731836,-3.6136725045662423
28,Biblioteca Pública Luis Rosales (Carabanchel),28044,Calle Antonia Rodriguez Sacristan 7 Y 9,40.37342554545538,-3.7480707331054375
29,Biblioteca Pública María Moliner (Villaverde),28021,Calle Villalonso 16,40.34952488592754,-3.7101159464904097
30,Biblioteca Pública Miguel Hernández (Puente de Vallecas),28018,Avenida Rafael Alberti 36,40.38449744232138,-3.642917675006409
31,Biblioteca Pública Pedro Salinas (Centro),28005,Glorieta Puerta De Toledo 1,40.407095978373384,-3.7110439355238602
32,Biblioteca Pública Rafael Alberti (Fuencarral - El Pardo),28034,Calle Sangenjo 38,40.48785071405995,-3.6985735344788924
33,Biblioteca Pública Ruiz Egea (Chamberí),28003,Calle Raimundo Fernandez Villaverde 6,40.44660265004691,-3.702878714068386
34,Biblioteca Pública del Estado Manuel Alvar  (Salamanca),28028,Calle Azcona 42,40.4344013219248,-3.6689700985764175
35,Biblioteca de la Facultad de Derecho de la Universidad Complutense de Madrid,28040,Plaza Menendez Pelayo 4,40.45029942937783,-3.7307676043691123
36,Biblioteca de la Real Academia de Jurisprudencia y Legislación,28014,Calle Marques De Cubas 13,40.41749648159225,-3.6955027540085243
37,Biblioteca del Centro de Estudios Políticos y Constitucionales,28013,Plaza Marina Española 9,40.42063654129458,-3.7124503472242387
38,Biblioteca del Congreso de los Diputados,28014,Calle Floridablanca 1,40.41669237524251,-3.6973803856575187
39,Biblioteca del Consejo General del Poder judicial,28004,Calle Marques De La Ensenada 8,40.42413604278863,-3.692517980456627
40,Biblioteca del Defensor del Pueblo,28010,Calle Fortuny 22,40.433268128292234,-3.690017893133342
41,Biblioteca del Instituto Nacional de la Administración Pública (INAP),28012,Calle Atocha 106,40.41007752272252,-3.6947545803257142
42,Biblioteca del Senado,28013,Calle Bailen 3,40.421464737341886,-3.712553386867105
43,Biblioteca del Tribunal Supremo,28004,Plaza Villa De Paris 1,40.42474395663221,-3.693302246719095
44,Biblioteca del Tribunal de Cuentas,28006,Calle Jose Ortega Y Gasset 100,40.42952490187533,-3.670881135626959
45,CaixaForum Madrid,28014,Paseo Prado 36,40.41100296472787,-3.6933720637143432
