BiciMAD station,Bikes available
1a - Puerta del Sol A,1
1b - Puerta del Sol B,1
2 - Miguel Moya,1
3 - Plaza Conde Suchil,0
4 - Malasaña,0
5 - Fuencarral,0
6 - Colegio Arquitectos,1
7 - Hortaleza,1
8 - Alonso Martínez,0
9 - Plaza de San Miguel,0
10 - Marqués de la Ensenada,0
11 - San Andrés,0
12 - San Hermenegildo,0
13 - Conde Duque,0
14 - Ventura Rodríguez,1
15 - San Vicente Ferrer,0
16 - San Bernardo,0
17 - Carlos Cambronero,0
18 - Plaza de Pedro Zerolo,1
19 - Prim,1
20a - Banco de España A,1
22 - Jacometrezo,1
23 - Santo Domingo,0
24 - Palacio de Oriente,0
25a - Plaza de Celenque A,1
25b - Plaza de Celenque B,1
26 - Plaza de las Salesas,0
27 - Huertas,0
28 - Sevilla,0
29 - Marqués de Cubas,0
30 - San Quintín,0
31 - Calle Mayor,1
32 - Plaza de la Provincia,0
33 - Carretas,1
34 - Jacinto Benavente,0
35 - Plaza del Cordón,0
36 - Plaza Ramales,0
37 - Plaza de San Francisco,0
38 - Plaza de los Carros,0
39 - Plaza de la Cebada,0
40 - Conde de Romanones,0
41 - Antón Martín,0
42 - Santa Isabel,0
43 - Jesús y María,0
44 - Plaza de Nelson Mandela,0
45 - Puerta de Toledo,0
46 - Ribera de Curtidores,0
47 - Embajadores 1,0
48 - Embajadores 2,0
49 - Casa Encendida,0
50 - Museo Reina Sofía,0
51 - Ronda de Atocha,0
52 - Plaza de Santa Ana,0
53 - Plaza de Lavapiés,0
54 - Barceló,0
55 - Plaza de San Ildefonso,0
56 - Plaza del Carmen ,1
57 - Santa Cruz del Marcenado,0
58 - Augusto Figueroa,1
59 - Plaza de Juan Pujol,0
60 - Plaza de la Independencia,0
61 - Narváez,0
62 - O'Donnell,0
63 - Ibiza,0
65 - Antonio Maura,0
67 - Almadén,0
68 - Espalter,0
69 - Puerta del Ángel Caído,0
70 - Puerta del Doce de Octubre,0
71 - Doce de Octubre,0
72 - Sainz de Baranda,0
73 - Plaza de los Astros,0
74 - Puerta del Pacífico ,0
75 - Menéndez Pelayo,0
76 - Puerta de Mariano de Cavia,0
77 - Conde de Casal,0
78 - Pedro Bosch,0
79 - Puerta de Granada,0
80a - Atocha A,0
80b - Atocha B,0
81 - Cuesta de Moyano,0
82 - Niño Jesús,0
83 - Pío Baroja,0
84 - Valderribas,0
85 - Puerta de Madrid,0
86 - Cibeles,0
87 - Ayala,0
88 - Embajada de Italia,0
89 - Conde Peñalver,0
90 - General Pardiñas,0
91 - Príncipe de Vergara,0
92 - Claudio Coello,0
93 - Plaza de Colón,0
94 - Biblioteca Nacional,0
95 - Villanueva,0
96 - Castelló,0
97 - Alcalá,0
98 - Plaza de Felipe II,0
99 - Alcántara,0
100 - Palacio de Deportes,0
101 - Jorge Juan,0
102 - Velázquez,0
103 - Ortega y Gasset,1
104 - Castellana,0
105 - Serrano,0
106a - Colón A,0
106b - Colón B,0
107 - Columela,0
108 - Mártires Concepcionistas,0
109 - Marqués de Salamanca,0
110 - Moncloa,0
111a - Arcipreste de Hita A,0
111b - Arcipreste de Hita B,0
112 - Paseo de Moret,0
113 - Pintor Rosales,0
114 - Quintana,0
115 - Ferraz,1
116a - Plaza de España A,1
116b - Plaza de España B,1
117 - Altamirano,0
118 - Juan Martín,0
119 - Méndez Álvaro,0
120 - Palos de la Frontera,0
121 - Santa María de la Cabeza,0
122 - Santa Engracia 14,0
123 - Guzmán el Bueno,0
124 - Manuel Silvela,0
125 - General Martínez Campos ,0
126 - General Álvarez de Castro,0
127 - Fernando el Católico,0
128 - Cea Bermúdez,0
129 - José Abascal,0
130 - Santa Engracia 127,0
131 - Bravo Murillo 44,0
132 - Glorieta de los Cuatro Caminos,0
133 - Raimundo Fernández,0
134 - Agustín de Betancourt,0
135 - Plaza de San Juan de la Cruz,0
136 - Castellana 106,0
137 - Plaza de la República Argentina,0
138 - Paseo de la Castellana con Raimundo Fernández,0
139 - José Gutiérrez Abascal ,0
140 - Velázquez 130,0
141 - Paseo de la Castellana - Glorieta de Emilio Castelar,0
142 - Castellana 42,0
143 - Diego de León 52,0
144 - Juan Bravo 50,0
145 - Ortega y Gasset 87,0
146 - María Francisca 1,0
147 - Doctor Arce 45,0
148 - Serrano 210,0
149 - Paseo de la Habana 42,0
150 - Castellana frente a Hermanos Pinzón,1
151 - Orense 12,0
152 - General Perón 1,1
153 - General Perón con Poeta Joan Maragall,1
154 - Orense 36,0
155 - San Germán 57,0
156 - Sor Ángela de la Cruz,0
157 - Castellana 164,0
158 - Alberto Alcocer,0
159 - Paseo de la Habana 63,0
160 - Colombia,0
161 - Paseo de la Florida,0
162 - Metro Pirámides,0
163 - Paseo de la Esperanza,0
164 - Paseo de las Delicias,0
165 - Entrada Matadero,0
166 - Segovia 26,0
167 - Segovia 45,0
168 - Batalla del Salado,0
169 - Pirámides,0
170 - Paseo de la Esperanza,0
171 - Embajadores-Cáceres,0
172 - Delicias,1
173 - Puente Praga,0
174 - Madrid Río-Yeserías,0
175 - Jaime el Conquistador,0
176 - Beata,0
177 - Legazpi,0
178 - Junta Municipal Retiro,0
179 - Puente de Vallecas,0
180 - Méndez Álvaro,0
181 - Retiro-Ibiza,0
182 - Parque Roma,0
183 - Doctor Esquerdo-Hermosilla,0
184 - Marqués de Zafra,0
185 - Quinta Fuente del Berro,0
186 - General Pardiñas,0
187 - Alcalá-Ventas,0
188 - Puente de Ventas,0
189 - Avenida Donostiarra,0
190 - Velázquez-Diego de León,0
191 - Diego de león,0
192 - Avenida de los Toreros,0
193 - Ventas,0
194 - Avenida de América 2,0
195 - Avenida de América 1,0
196 - Prosperidad,0
197 - Parque Berlín,0
198 - Rubén Darío,0
199 - Fernando el Católico,0
200 - Quevedo,0
201 - Canal,0
202 - Parque Santander,0
203 - San Francisco de Sales,0
204 - Cuatro Caminos 2,0
205 - Estrecho,0
206 - Metro Tetuán,0
207 - Remonta,0
208 - Plaza de Castilla,0
209 - Plaza de Castilla 2,0
210 - Tres Cruces,1
211 - Desengaño,0
212 - Marqués de Vadillo,0
213 - Glorieta de Cádiz,0
214 - Condesa de Venadito,0
215 - Gutierre de Cetina,0
216 - Puerta del Ángel,0
217 - Pedro Rico,0
218 - Camino Vinateros,0
219 - Marroquina,0
220 - Plaza del Encuentro,0
221 - Pavones,0
222 - Antonio López,0
223 - Ermita Santo,0
224 - Caramuel,0
225 - Doctor Lozano,0
226 - Sierra Toledana,0
227 - Concordia,0
228 - San Delfín,0
229 - C.D. Concepción,0
230 - Carlota O’Neill,0
231 - Derechos Humanos,0
232 - José María Pereda,0
233 - Marqués de Corbera 12,0
234 - Marqués de Corbera 52,0
235 - Embajadores 191,0
236 - Paseo Imperial,0
237 - Pablo Iglesias,0
238 - San Germán 5,0
239 - Francos Rodríguez,0
240 - Avenida Brasilia,0
241 - Camilo José Cela,0
242 - Avenida Bruselas,0
243 - Cartagena,0
244 - Hospital Clínico,0
245 - Galileo,0
246 - Santa Engracia 87,0
247 - Zurbano,0
248 - Torre Cepsa,0
249 - Manuel Caldeiro,0
250 - Serrano 113,0
251 - Corazón de María,0
252 - Chamartín,1
253 - Doctor Fleming,0
254 - Pío XII,0
255 - López Pozas,0
256 - Reina Victoria,0
257 - INEF,0
258 - Ciudad Universitaria 1,0
259 - Ciudad Universitaria 2,0
260 - Facultad Biología,0
261 - Facultad Derecho,0
