,BiciPARK station,BiciPARK address,zip_code,park_long,park_lat
0,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,28050,-3.6630679,40.4846838
1,Bicipark Orense,"Avenida General Perón, 27",28020,-3.693897,40.452973
2,Bicipark Montalban,"Calle de Montalbán, 5",28014,-3.690786,40.418146
3,Bicipark Almagro,"Calle Almagro, 11",28010,-3.692879,40.430361
4,Bicipark Recoletos,"Paseo de Recoletos, 2",28001,-3.692245,40.420354
5,Bicipark Recuerdo,"Calle Hiedra, 26",28036,-3.678921,40.472419
6,Bicipark Salamanca,Pl. del Marqués de Salamanca,28006,-3.679172,40.430315
7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",28004,-3.693698,40.425608
8,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",28049,-3.7249142,40.4959425
9,Bicipark Aviación,Parking Aviación Española,28024,-3.78369522,40.383491516
