Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,1766.07,254 - Pío XII,Avenida Pío XII nº 3
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,9554.24,217 - Pedro Rico,Calle Pedro Rico nº 4
ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),Instalaciones accesibles NO municipales,Camino Valderribas 115,723.7,226 - Sierra Toledana,Camino de Valderribas nº 94
Administración Ciudad Lineal. AEAT,Instalaciones accesibles NO municipales,Calle Uruguay 16,506.84,160 - Colombia,Calle Colombia nº 7
Administración Fermín Caballero. AEAT,Instalaciones accesibles NO municipales,Calle Fermin Caballero 66,2474.47,217 - Pedro Rico,Calle Pedro Rico nº 4
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,179.01,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,221.77,140 - Velázquez 130,Calle Velázquez nº 130
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,195.12,65 - Antonio Maura,Calle Antonio Maura nº 15
Administración Sudeste. AEAT,Instalaciones accesibles NO municipales,Calle Camino De Los Vinateros 51,437.27,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28
Administración Suroeste. AEAT,Instalaciones accesibles NO municipales,Calle Aguacate 27,4485.45,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Aeropuerto Adolfo Suarez Madrid -  Barajas,Instalaciones accesibles NO municipales,Avenida Hispanidad,9040.1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Bulevar Jose Prat 40,1720.32,221 - Pavones,Calle Hacienda de Pavones nº 342
Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 34,142.12,252 - Chamartín,Calle Rodríguez Jaén nº 40
Aparcamiento público Saba Estación Madrid Atocha P2 y P3,Instalaciones accesibles NO municipales,Paseo Infanta Isabel  Sin Número,351.53,80b - Atocha B,Paseo de la Infanta Isabel nº 3
Aparcamiento público de Metro de Madrid. Miguel Hernández,Instalaciones accesibles NO municipales,Avenida Albufera 270,1601.22,221 - Pavones,Calle Hacienda de Pavones nº 342
Aparcamiento público. Plaza Ramón y Cajal (Ciudad Universitaria),Instalaciones accesibles NO municipales,Plaza Ramon Y Cajal 1,122.1,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
"Asociación esclerosis múltiple Madrid, centro de rehabilitación",Instalaciones accesibles NO municipales,Calle Sangenjo 36 Planta 1º,1336.29,217 - Pedro Rico,Calle Pedro Rico nº 4
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,231.83,146 - María Francisca 1,Calle María Francisca nº 1
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,211.01,104 - Castellana,Paseo de la Castellana nº 4
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,25.23,94 - Biblioteca Nacional,Paseo de Recoletos nº 20
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,5634.78,224 - Caramuel,Calle Caramuel nº 51
Biblioteca Pública Elena Fortún (Retiro),Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 189,42.38,84 - Valderribas,Calle Doctor Esquerdo nº 191
Biblioteca Pública Hortaleza,Instalaciones accesibles NO municipales,Calle Abertura 2,3591.73,254 - Pío XII,Avenida Pío XII nº 3
Biblioteca Pública Javier Marías (Moratalaz),Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 5,313.46,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Biblioteca Pública José Hierro (Usera),Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 43,1405.99,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,83.28,246 - Santa Engracia 87,Calle Santa Engracia nº 87
