Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,Bicipark Montalban,"Calle de Montalbán, 5",29.74
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",105.83
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,Bicipark Recoletos,"Paseo de Recoletos, 2",204.91
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,Bicipark Montalban,"Calle de Montalbán, 5",205.33
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",210.18
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",210.96
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,Bicipark Montalban,"Calle de Montalbán, 5",217.68
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,Bicipark Recoletos,"Paseo de Recoletos, 2",250.43
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,Bicipark Orense,"Avenida General Perón, 27",265.67
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,Bicipark Recoletos,"Paseo de Recoletos, 2",287.05
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,301.68
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,Bicipark Orense,"Avenida General Perón, 27",323.06
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,Bicipark Recoletos,"Paseo de Recoletos, 2",324.19
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,Bicipark Almagro,"Calle Almagro, 11",327.59
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",332.03
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",332.03
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,Bicipark Recoletos,"Paseo de Recoletos, 2",334.18
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,Bicipark Orense,"Avenida General Perón, 27",353.16
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,Bicipark Salamanca,Pl. del Marqués de Salamanca,358.92
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,Bicipark Montalban,"Calle de Montalbán, 5",364.05
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Almagro,"Calle Almagro, 11",367.18
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Almagro,"Calle Almagro, 11",367.18
