Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,1815.4,Bicipark Recuerdo,"Calle Hiedra, 26"
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,7561.77,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),Instalaciones accesibles NO municipales,Camino Valderribas 115,4678.14,Bicipark Montalban,"Calle de Montalbán, 5"
Administración Ciudad Lineal. AEAT,Instalaciones accesibles NO municipales,Calle Uruguay 16,2079.97,Bicipark Recuerdo,"Calle Hiedra, 26"
Administración Fermín Caballero. AEAT,Instalaciones accesibles NO municipales,Calle Fermin Caballero 66,2143.86,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,2235.36,Bicipark Orense,"Avenida General Perón, 27"
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,813.83,Bicipark Salamanca,Pl. del Marqués de Salamanca
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,29.74,Bicipark Montalban,"Calle de Montalbán, 5"
Administración Sudeste. AEAT,Instalaciones accesibles NO municipales,Calle Camino De Los Vinateros 51,3554.96,Bicipark Salamanca,Pl. del Marqués de Salamanca
Administración Suroeste. AEAT,Instalaciones accesibles NO municipales,Calle Aguacate 27,4471.75,Bicipark Aviación,Parking Aviación Española
Aeropuerto Adolfo Suarez Madrid -  Barajas,Instalaciones accesibles NO municipales,Avenida Hispanidad,10582.26,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Bulevar Jose Prat 40,7642.11,Bicipark Salamanca,Pl. del Marqués de Salamanca
Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 34,682.45,Bicipark Recuerdo,"Calle Hiedra, 26"
Aparcamiento público Saba Estación Madrid Atocha P2 y P3,Instalaciones accesibles NO municipales,Paseo Infanta Isabel  Sin Número,1440.11,Bicipark Montalban,"Calle de Montalbán, 5"
Aparcamiento público de Metro de Madrid. Miguel Hernández,Instalaciones accesibles NO municipales,Avenida Albufera 270,6504.25,Bicipark Salamanca,Pl. del Marqués de Salamanca
Aparcamiento público. Plaza Ramón y Cajal (Ciudad Universitaria),Instalaciones accesibles NO municipales,Plaza Ramon Y Cajal 1,3724.8,Bicipark Orense,"Avenida General Perón, 27"
"Asociación esclerosis múltiple Madrid, centro de rehabilitación",Instalaciones accesibles NO municipales,Calle Sangenjo 36 Planta 1º,2762.95,Bicipark Recuerdo,"Calle Hiedra, 26"
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,1769.09,Bicipark Salamanca,Pl. del Marqués de Salamanca
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,332.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,334.18,Bicipark Recoletos,"Paseo de Recoletos, 2"
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,1653.11,Bicipark Aviación,Parking Aviación Española
Biblioteca Pública Elena Fortún (Retiro),Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 189,2613.9,Bicipark Montalban,"Calle de Montalbán, 5"
Biblioteca Pública Hortaleza,Instalaciones accesibles NO municipales,Calle Abertura 2,1716.31,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Biblioteca Pública Javier Marías (Moratalaz),Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 5,4425.69,Bicipark Salamanca,Pl. del Marqués de Salamanca
Biblioteca Pública José Hierro (Usera),Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 43,4603.19,Bicipark Montalban,"Calle de Montalbán, 5"
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,942.23,Bicipark Almagro,"Calle Almagro, 11"
Biblioteca Pública Luis Martín Santos (Villa de Vallecas),Instalaciones accesibles NO municipales,Plaza Antonio Maria Segovia 2,9144.09,Bicipark Salamanca,Pl. del Marqués de Salamanca
Biblioteca Pública Luis Rosales (Carabanchel),Instalaciones accesibles NO municipales,Calle Antonia Rodriguez Sacristan 7 Y 9,4129.23,Bicipark Aviación,Parking Aviación Española
Biblioteca Pública María Moliner (Villaverde),Instalaciones accesibles NO municipales,Calle Villalonso 16,7937.37,Bicipark Montalban,"Calle de Montalbán, 5"
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Instalaciones accesibles NO municipales,Avenida Rafael Alberti 36,6509.1,Bicipark Salamanca,Pl. del Marqués de Salamanca
Biblioteca Pública Pedro Salinas (Centro),Instalaciones accesibles NO municipales,Glorieta Puerta De Toledo 1,2564.35,Bicipark Recoletos,"Paseo de Recoletos, 2"
Biblioteca Pública Rafael Alberti (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Sangenjo 38,2785.14,Bicipark Recuerdo,"Calle Hiedra, 26"
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,1227.49,Bicipark Orense,"Avenida General Perón, 27"
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,1225.56,Bicipark Salamanca,Pl. del Marqués de Salamanca
Biblioteca de la Facultad de Derecho de la Universidad Complutense de Madrid,Instalaciones accesibles NO municipales,Plaza Menendez Pelayo 4,4123.8,Bicipark Orense,"Avenida General Perón, 27"
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,482.96,Bicipark Recoletos,"Paseo de Recoletos, 2"
Biblioteca del Centro de Estudios Políticos y Constitucionales,Instalaciones accesibles NO municipales,Plaza Marina Española 9,2163.84,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,703.07,Bicipark Recoletos,"Paseo de Recoletos, 2"
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,210.18,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,454.52,Bicipark Almagro,"Calle Almagro, 11"
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,1001.35,Bicipark Montalban,"Calle de Montalbán, 5"
Biblioteca del Senado,Instalaciones accesibles NO municipales,Calle Bailen 3,2153.34,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,105.83,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Biblioteca del Tribunal de Cuentas,Instalaciones accesibles NO municipales,Calle Jose Ortega Y Gasset 100,929.01,Bicipark Salamanca,Pl. del Marqués de Salamanca
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,845.87,Bicipark Montalban,"Calle de Montalbán, 5"
Capilla de San Isidro,Instalaciones accesibles NO municipales,Calle Aguila 1,2479.06,Bicipark Recoletos,"Paseo de Recoletos, 2"
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,1837.85,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,364.05,Bicipark Montalban,"Calle de Montalbán, 5"
Centro Concertado de Atención a las Adicciones (CCAD) Casa de Campo (Cruz Roja),Instalaciones accesibles NO municipales,Avenida Portugal,3533.61,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,779.19,Bicipark Recoletos,"Paseo de Recoletos, 2"
Centro de Día Privado 'Casa de las Flores',Instalaciones accesibles NO municipales,Calle Rodriguez San Pedro 72,2647.79,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Centro de Día Privado 'DomusVi Albufera',Instalaciones accesibles NO municipales,Calle Sierra De Alcubierre 8,3875.64,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,2204.51,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de Día Privado 'Florencia',Instalaciones accesibles NO municipales,Calle Florencia 24,6605.41,Bicipark Salamanca,Pl. del Marqués de Salamanca
