Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,29.74,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,105.83,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,204.91,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,205.33,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,210.18,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,210.96,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,217.68,Bicipark Montalban,"Calle de Montalbán, 5",15
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,250.43,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,265.67,Bicipark Orense,"Avenida General Perón, 27",9
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,287.05,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,301.68,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,323.06,Bicipark Orense,"Avenida General Perón, 27",9
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,324.19,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,327.59,Bicipark Almagro,"Calle Almagro, 11",12
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,332.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,332.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
